ID,GSM429956,GSM429961,GSM429980,GSM429981,
267555_at,90.6,87.3,84.7,68.8,
267556_at,197.4,190.5,153.6,195,
267557_at,34.5,41.9,40,27.8,
267558_at,109.8,116.7,141.1,135.4,
267559_at,5.5,3.6,46,41.8,
267560_at,11,10.8,11.1,14.8,
267561_at,55.8,43.7,40.2,41.4,
267527_at,4.4,1.2,0.4,0.6,
267528_at,0.1,0.3,0.2,0.4,
267529_at,39.2,38.7,36.8,30,
267498_at,67.7,63,33.7,35.1,
267499_at,16,9.3,10.7,11.3,
267500_s_at,58.8,54,42.7,38.1,
267501_at,157.6,153.8,125,86.8,
267502_at,3.4,3.7,2.5,5.5,
267503_at,17.9,19.6,14.7,11.8,
267504_at,42.4,35.5,32.8,28.6,
267505_at,33.8,34.1,21.5,29.9,
267506_at,153.9,149.1,156.9,168.1,
267507_at,299,302.7,331.1,354.5,
267508_at,70.7,76.1,71.6,42.2,
267509_at,6.7,8.7,6.8,7.4,
267510_at,318.3,342.2,225.3,253,
267511_at,129.8,140.5,122.9,98.6,
267512_at,41.7,49,32.4,29.2,
267513_at,145.6,150.1,140.5,162.9,
267514_at,16.4,12.5,9.3,2,
267515_at,57.6,62,65.2,60.6,
267516_at,514.6,505.4,460.2,534.8,
267517_at,1408.4,1379.8,1514.6,1204.9,
267518_at,87.4,77,98.2,73.5,
267519_at,27.1,23.1,40.1,38.9,
267520_at,65,66.5,57.8,54.1,
267521_at,10.8,11.5,10.8,11.7,
267522_at,0.1,0.4,0.3,0.7,
267523_at,148.2,150.9,149,150.2,
267524_at,109.1,114.3,97.1,114.4,
267525_at,13.3,14.2,6.8,18,
267526_at,2325.2,2138,1445.7,1503.4,
267492_at,602.9,580.5,539.6,501,
267493_at,8.7,7.4,10.8,10.4,
267494_at,333.5,319.1,283.3,417.4,
267495_at,7.1,7.2,6,9.1,
267496_at,93.1,94.2,254.4,226.4,
267497_at,255.4,274.4,74.7,73,
267467_at,61,60.3,45.7,43.1,
267468_at,75.2,81.3,67.6,68.4,
267469_at,72.7,75.6,80.9,87,
267470_at,777.6,806,1941.6,2227,
267471_at,238.5,218.8,170.1,153.4,
267472_at,35.6,36.6,24.7,25.2,
267473_at,7.2,6.4,4.3,10,
267474_at,70,93.2,80.9,98.6,
267475_at,23.6,24.8,30.3,28.8,
267476_at,0.6,4.4,2.6,0.5,
267477_at,66.5,66,65.7,48,
267478_at,6,1.2,0.4,1.8,
267479_at,0.6,0.4,0.7,1.4,
267480_at,0.4,1.6,1.5,0.8,
267481_at,72.2,60.5,42.2,38.9,
267482_s_at,11.7,15.3,10.5,4.4,
267483_at,62.3,64.8,82.9,72.9,
267484_at,744.6,663.7,577.3,561,
267485_at,20.8,28.4,14.2,16,
267486_at,343.4,336.7,232.8,232.8,
267487_at,2.4,0.8,0.8,0.3,
267488_at,55.4,42.9,51.1,29.7,
267489_s_at,133.2,116.2,138.4,133.9,
267490_at,34.1,43,52.5,33.6,
267491_at,0.9,0.4,1,1.4,
267464_at,7.1,4.2,4.2,10.5,
267465_at,49.4,49.3,28.7,29.1,
267466_at,6.9,5.2,3.6,1.9,
267436_at,10.7,9.5,134,94,
267437_at,2.5,2.4,4.9,3.2,
267438_at,7.4,2.7,9.8,5.2,
267439_at,5.4,5.3,1.5,3.7,
267440_at,0.5,2.4,3.4,7.1,
267441_at,0.5,0.3,0.3,0.7,
267442_at,130.1,145.3,98.3,91.9,
267443_at,3.3,3,0.7,0.8,
267444_at,44.2,53.9,33.5,26.2,
267445_at,7.8,14.3,11.3,14.1,
267446_s_at,114.6,116.9,98.2,95.3,
267447_at,1.2,1.3,1.9,0.6,
267448_at,46.9,48.6,47.3,49.9,
267449_at,0.2,2,3.2,0.7,
267450_at,8.9,3.7,5.7,3.3,
267451_at,7.8,9.3,34.9,38,
267452_at,43.9,39,24.6,35,
267453_at,8.3,3.9,4.1,5.2,
267454_at,153.3,160.8,177.7,158.5,
267455_at,14.5,14.6,12,11.6,
267456_at,61.2,63.3,30.8,31.7,
267457_at,394.8,396.8,12.9,15.4,
267458_at,3.9,4.5,8,9.7,
267459_at,278.6,255.7,227.7,157.7,
267460_at,6.4,3.3,6.8,8.5,
267461_at,68.7,69.6,128.6,97.2,
267462_at,24.6,23.2,25.5,19.5,
267463_at,173.5,154.3,180.8,191.9,
267435_at,1355.3,1334.1,1544,1769.2,
